Suburb,Rooms,Type,Price,Distance,Postcode,Bathroom,Car,BuildingArea,YearBuilt,zipcode,airbnb_price_min,airbnb_price_median,airbnb_price_mean,airbnb_price_max,airbnb_weekly_price_min,airbnb_weekly_price_median,airbnb_weekly_price_mean,airbnb_weekly_price_max,airbnb_monthly_price_min,airbnb_monthly_price_median,airbnb_monthly_price_mean,airbnb_monthly_price_max,airbnb_zipcode_count
Airport West,3,t,840000.0,13.5,3042.0,2.0,1.0,225.0,2016.0,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
Airport West,3,h,730000.0,13.5,3042.0,2.0,1.0,145.0,1965.0,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
Airport West,3,h,770000.0,13.5,3042.0,2.0,1.0,145.0,1965.0,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
Airport West,2,h,603000.0,13.5,3042.0,1.0,1.0,84.0,1950.0,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
Airport West,3,t,700000.0,13.5,3042.0,2.0,2.0,134.0,2009.0,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
Airport West,3,h,600000.0,13.5,3042.0,1.0,1.0,116.0,1980.0,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
Airport West,2,u,500000.0,13.5,3042.0,1.0,1.0,86.0,2011.0,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
Airport West,3,h,720000.0,13.5,3042.0,1.0,1.0,,,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
Airport West,4,h,785000.0,13.5,3042.0,1.0,2.0,127.0,,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
Airport West,6,h,725000.0,13.5,3042.0,3.0,2.0,186.0,1980.0,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
Airport West,2,t,450000.0,13.5,3042.0,1.0,1.0,90.0,2015.0,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
Airport West,2,u,515000.0,13.5,3042.0,1.0,1.0,73.0,2013.0,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
Airport West,2,u,530000.0,13.5,3042.0,1.0,1.0,94.0,2012.0,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
Airport West,3,h,895000.0,13.5,3042.0,1.0,6.0,133.0,1975.0,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
Airport West,3,h,805000.0,13.5,3042.0,1.0,1.0,105.0,1950.0,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
Airport West,3,u,752000.0,13.5,3042.0,1.0,1.0,130.0,1993.0,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
Airport West,2,u,440000.0,13.5,3042.0,1.0,1.0,,,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
Airport West,5,h,755000.0,13.5,3042.0,2.0,2.0,,,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
Airport West,3,t,700000.0,13.5,3042.0,2.0,2.0,133.0,2009.0,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
Airport West,3,h,830000.0,13.5,3042.0,1.0,2.0,113.0,1960.0,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
Airport West,2,u,462500.0,13.5,3042.0,1.0,1.0,,2003.0,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
Airport West,3,h,670000.0,13.5,3042.0,2.0,2.0,,,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
Airport West,2,h,675000.0,13.5,3042.0,1.0,1.0,100.0,1975.0,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
Airport West,3,h,1042000.0,13.5,3042.0,2.0,5.0,174.0,1950.0,3042.0,0.0,65.0,81.57142857142857,264.0,351.0,400.0,568.2,990.0,1303.0,1550.0,1800.75,2800.0,35.0
